{'level': 'WARNING', 'message': 'https://www.gstatic.com/recaptcha/releases/-PgDGgfmUF0ySmnjMTJjzqak/recaptcha__en.js 741:280 "reCAPTCHA couldn\'t find user-provided function: onloadCallback"', 'source': 'console-api', 'timestamp': 1761807531787}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807531848}
{'level': 'SEVERE', 'message': 'https://cdn-ima.33across.com/ob.js - Failed to load resource: net::ERR_CONNECTION_REFUSED', 'source': 'network', 'timestamp': 1761807531966}
{'level': 'WARNING', 'message': 'https://cdn.jsdelivr.net/gh/prebid/shared-id/pubcid.js/docs/pubcid.min.js 0:8 "Google Deploy of the SharedId library has been deprecated. Please select another option in the GAM UI. If you use Prebid, we suggest the Prebid.js UserId option. If you do not, you may configure GAM to allow Google to share a first party user identifier with OB and AB participants, which is either the publisherProvidedId or the __gads value when that is missing."', 'source': 'console-api', 'timestamp': 1761807531993}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807532054}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807532056}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807532095}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807532095}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807532190}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807532190}
{'level': 'SEVERE', 'message': 'https://cdn.ad.plus/player/adplus.js 434:423 Uncaught TypeError: c(...).setup is not a function', 'source': 'javascript', 'timestamp': 1761807532206}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807532260}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510220101/pubads_impl.js?cb=31095425 18:445651 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807532260}
