{'level': 'WARNING', 'message': 'https://www.gstatic.com/recaptcha/releases/-PgDGgfmUF0ySmnjMTJjzqak/recaptcha__en.js 741:280 "reCAPTCHA couldn\'t find user-provided function: onloadCallback"', 'source': 'console-api', 'timestamp': 1761807130088}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130151}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130151}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130151}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130152}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130152}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130152}
{'level': 'SEVERE', 'message': 'https://cdn-ima.33across.com/ob.js - Failed to load resource: net::ERR_CONNECTION_REFUSED', 'source': 'network', 'timestamp': 1761807130255}
{'level': 'WARNING', 'message': 'https://cdn.jsdelivr.net/gh/prebid/shared-id/pubcid.js/docs/pubcid.min.js 0:8 "Google Deploy of the SharedId library has been deprecated. Please select another option in the GAM UI. If you use Prebid, we suggest the Prebid.js UserId option. If you do not, you may configure GAM to allow Google to share a first party user identifier with OB and AB participants, which is either the publisherProvidedId or the __gads value when that is missing."', 'source': 'console-api', 'timestamp': 1761807130262}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807130333}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] This ad request is subject to Google\'s EU User Consent Policy. An IAB TCF signal was not received. This ad request will not be eligible for personalized ads.\\nhttps://goo.gle/gpt-message#175"', 'source': 'console-api', 'timestamp': 1761807130336}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807130468}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807130470}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807130572}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807130574}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807130686}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807130686}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Interstitial /21849154601,22343295815/Ad.Plus-300x250 not requested: Format already created on the page.\\nhttps://goo.gle/gpt-message#134"', 'source': 'console-api', 'timestamp': 1761807130794}
{'level': 'WARNING', 'message': 'https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202510230101/pubads_impl.js?cb=31095426 18:445951 "[GPT] Anchor /21849154601,22343295815/Ad.Plus-300x250 not requested: Codeless ad unit request not sent because there are existing sticky elements on the page.\\nhttps://goo.gle/gpt-message#180"', 'source': 'console-api', 'timestamp': 1761807130794}
{'level': 'SEVERE', 'message': 'https://cdn.ad.plus/player/adplus.js 434:423 Uncaught TypeError: c(...).setup is not a function', 'source': 'javascript', 'timestamp': 1761807131008}
